line 0: me: X, them: C me: Rock, them: Scissors value: 7
line 1: me: X, them: C me: Rock, them: Scissors value: 7
line 2: me: Y, them: A me: Paper, them: Rock value: 8
line 3: me: X, them: C me: Rock, them: Scissors value: 7
line 4: me: Y, them: B me: Paper, them: Paper value: 5
line 5: me: X, them: A me: Rock, them: Rock value: 4
line 6: me: Z, them: A me: Scissors, them: Rock value: 3
line 7: me: Y, them: B me: Paper, them: Paper value: 5
line 8: me: Z, them: C me: Scissors, them: Scissors value: 6
line 9: me: Z, them: C me: Scissors, them: Scissors value: 6
line 10: me: X, them: B me: Rock, them: Paper value: 1
line 11: me: Z, them: C me: Scissors, them: Scissors value: 6
line 12: me: Y, them: B me: Paper, them: Paper value: 5
line 13: me: Z, them: C me: Scissors, them: Scissors value: 6
line 14: me: Y, them: B me: Paper, them: Paper value: 5
line 15: me: Z, them: A me: Scissors, them: Rock value: 3
line 16: me: Y, them: B me: Paper, them: Paper value: 5
line 17: me: X, them: C me: Rock, them: Scissors value: 7
line 18: me: X, them: C me: Rock, them: Scissors value: 7
line 19: me: X, them: C me: Rock, them: Scissors value: 7
line 20: me: X, them: B me: Rock, them: Paper value: 1
line 21: me: Z, them: C me: Scissors, them: Scissors value: 6
line 22: me: X, them: C me: Rock, them: Scissors value: 7
line 23: me: Z, them: C me: Scissors, them: Scissors value: 6
line 24: me: X, them: C me: Rock, them: Scissors value: 7
line 25: me: Y, them: A me: Paper, them: Rock value: 8
line 26: me: Y, them: B me: Paper, them: Paper value: 5
line 27: me: Z, them: B me: Scissors, them: Paper value: 9
line 28: me: X, them: A me: Rock, them: Rock value: 4
line 29: me: X, them: C me: Rock, them: Scissors value: 7
line 30: me: Z, them: C me: Scissors, them: Scissors value: 6
line 31: me: Z, them: C me: Scissors, them: Scissors value: 6
line 32: me: Z, them: A me: Scissors, them: Rock value: 3
line 33: me: Y, them: B me: Paper, them: Paper value: 5
line 34: me: Z, them: C me: Scissors, them: Scissors value: 6
line 35: me: X, them: C me: Rock, them: Scissors value: 7
line 36: me: X, them: C me: Rock, them: Scissors value: 7
line 37: me: Z, them: C me: Scissors, them: Scissors value: 6
line 38: me: Y, them: B me: Paper, them: Paper value: 5
line 39: me: Z, them: C me: Scissors, them: Scissors value: 6
line 40: me: Z, them: C me: Scissors, them: Scissors value: 6
line 41: me: X, them: C me: Rock, them: Scissors value: 7
line 42: me: X, them: B me: Rock, them: Paper value: 1
line 43: me: X, them: B me: Rock, them: Paper value: 1
line 44: me: Y, them: A me: Paper, them: Rock value: 8
line 45: me: Z, them: C me: Scissors, them: Scissors value: 6
line 46: me: Z, them: C me: Scissors, them: Scissors value: 6
line 47: me: Y, them: B me: Paper, them: Paper value: 5
line 48: me: Y, them: B me: Paper, them: Paper value: 5
line 49: me: Z, them: C me: Scissors, them: Scissors value: 6
line 50: me: X, them: C me: Rock, them: Scissors value: 7
line 51: me: Z, them: A me: Scissors, them: Rock value: 3
line 52: me: X, them: C me: Rock, them: Scissors value: 7
line 53: me: Z, them: C me: Scissors, them: Scissors value: 6
line 54: me: Z, them: C me: Scissors, them: Scissors value: 6
line 55: me: X, them: B me: Rock, them: Paper value: 1
line 56: me: Z, them: C me: Scissors, them: Scissors value: 6
line 57: me: Z, them: C me: Scissors, them: Scissors value: 6
line 58: me: Y, them: B me: Paper, them: Paper value: 5
line 59: me: Y, them: A me: Paper, them: Rock value: 8
line 60: me: X, them: B me: Rock, them: Paper value: 1
line 61: me: X, them: C me: Rock, them: Scissors value: 7
line 62: me: X, them: C me: Rock, them: Scissors value: 7
line 63: me: Z, them: C me: Scissors, them: Scissors value: 6
line 64: me: X, them: C me: Rock, them: Scissors value: 7
line 65: me: Y, them: A me: Paper, them: Rock value: 8
line 66: me: X, them: C me: Rock, them: Scissors value: 7
line 67: me: Z, them: C me: Scissors, them: Scissors value: 6
line 68: me: Z, them: A me: Scissors, them: Rock value: 3
line 69: me: Y, them: B me: Paper, them: Paper value: 5
line 70: me: Z, them: C me: Scissors, them: Scissors value: 6
line 71: me: X, them: C me: Rock, them: Scissors value: 7
line 72: me: X, them: C me: Rock, them: Scissors value: 7
line 73: me: Z, them: C me: Scissors, them: Scissors value: 6
line 74: me: Z, them: C me: Scissors, them: Scissors value: 6
line 75: me: Z, them: C me: Scissors, them: Scissors value: 6
line 76: me: Z, them: A me: Scissors, them: Rock value: 3
line 77: me: Z, them: C me: Scissors, them: Scissors value: 6
line 78: me: Z, them: A me: Scissors, them: Rock value: 3
line 79: me: Z, them: A me: Scissors, them: Rock value: 3
line 80: me: X, them: C me: Rock, them: Scissors value: 7
line 81: me: Y, them: B me: Paper, them: Paper value: 5
line 82: me: X, them: C me: Rock, them: Scissors value: 7
line 83: me: X, them: C me: Rock, them: Scissors value: 7
line 84: me: Z, them: A me: Scissors, them: Rock value: 3
line 85: me: X, them: C me: Rock, them: Scissors value: 7
line 86: me: Y, them: A me: Paper, them: Rock value: 8
